frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[324.5716552734375 203.7601318359375 356.3599853515625 235.19036865234375],0.25129765272140503,0,0
1,0,[0 0 0 0],[324.08056640625 204.33450317382812 356.935791015625 235.7200927734375],0.27709266543388367,0,0
2,0,[0 0 0 0],[190.8433380126953 210.40576171875 250.5224151611328 243.10049438476562],0.2520007789134979,0,0
3,0,[0 0 0 0],[96.85792541503906 208.19158935546875 149.67991638183594 248.2869873046875],0.25765106081962585,0,0
4,0,[0 0 0 0],[281.2817077636719 208.9017333984375 354.4012145996094 241.447998046875],0.3374246060848236,0,0
5,0,[0 0 0 0],[282.58758544921875 210.88577270507812 354.4393310546875 242.21099853515625],0.28904488682746887,0,0
6,0,[0 0 0 0],[624.3072509765625 218.00738525390625 647.7215576171875 230.0704345703125],0.2854554057121277,0,0
7,0,[0 0 0 0],[632.1705322265625 215.7296142578125 658.4166259765625 232.76513671875],0.26704925298690796,0,0
8,0,[0 0 0 0],[634.1346435546875 215.93218994140625 658.0367431640625 234.84359741210938],0.25426891446113586,0,0
9,0,[0 0 0 0],[320.503173828125 216.36859130859375 352.625732421875 247.98626708984375],0.2593305706977844,0,0
